,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY
0,Precious Achiuwa,Raptors,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,2,20,134,18.4,7.2,5.1,0.8,0.4,0.5,2711280
1,Steven Adams,Grizzlies,Center,6-11,265,New Zealand,1993-07-20T00:00:00,9,12,664,26.8,9.3,8.0,1.5,0.9,0.9,17073171
2,Bam Adebayo,Heat,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,5,14,343,28.2,13.5,8.3,3.5,1.0,0.9,28103550
3,Santi Aldama,Grizzlies,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,1,30,32,11.2,4.1,2.7,0.7,0.2,0.3,1994520
4,LaMarcus Aldridge,Nets,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,16,2,1076,33.7,19.1,8.1,1.9,0.7,1.1,2641691
5,Nickeil Alexander-Walker,Jazz,Guard,6-5,205,Canada,1998-09-02T00:00:00,3,17,158,19.4,9.3,2.6,2.2,0.7,0.3,3261480
6,Grayson Allen,Bucks,Guard,6-4,198,USA,1995-10-08T00:00:00,4,21,192,21.9,9.4,2.6,1.5,0.6,0.2,4054695
7,Jarrett Allen,Cavaliers,Center,6-10,243,USA,1998-04-21T00:00:00,5,22,341,26.6,11.6,8.7,1.4,0.5,1.4,20000000
8,Jose Alvarado,Pelicans,Guard,6-0,179,USA,1998-04-12T00:00:00,1,Undrafted,54,15.4,6.1,1.9,2.8,1.3,0.1,
9,Kyle Anderson,Timberwolves,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,8,30,505,21.0,6.7,4.4,2.3,1.0,0.6,9937150
10,Giannis Antetokounmpo,Bucks,Forward,6-11,242,Greece,1994-12-06T00:00:00,9,15,656,32.6,21.8,9.4,4.6,1.2,1.3,39344970
11,Thanasis Antetokounmpo,Bucks,Forward,6-6,219,Greece,1992-07-18T00:00:00,4,51,127,9.1,3.1,2.0,0.7,0.4,0.2,1729217
12,Carmelo Anthony,Lakers,Forward,6-7,238,USA,1984-05-29T00:00:00,19,3,1260,34.5,22.5,6.2,2.7,1.0,0.5,2641691
13,Cole Anthony,Magic,Guard,6-3,185,USA,2000-05-15T00:00:00,2,15,112,29.8,14.9,5.1,5.0,0.7,0.3,3449400
14,OG Anunoby,Raptors,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,5,23,301,26.8,10.4,4.1,1.4,1.1,0.5,16071429
15,Ryan Arcidiacono,Bulls,Guard,6-3,195,USA,1994-03-26T00:00:00,6,Undrafted,217,17.2,4.6,2.0,2.1,0.5,0.0,586136
16,D.J. Augustin,Lakers,Guard,5-11,183,USA,1987-11-10T00:00:00,14,9,976,23.4,9.5,1.8,3.9,0.6,0.0,7622467
17,Deni Avdija,Wizards,Forward,6-9,210,Israel,2001-01-03T00:00:00,2,9,136,23.8,7.6,5.1,1.7,0.7,0.4,4692840
18,Deandre Ayton,Suns,Center,6-11,250,Bahamas,1998-07-23T00:00:00,4,1,236,30.7,16.3,10.5,1.6,0.7,1.0,12632950
19,Udoka Azubuike,Jazz,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,2,27,32,7.9,3.0,2.6,0.0,0.1,0.5,2075880
20,Marvin Bagley III,Pistons,Forward,6-11,235,USA,1999-03-14T00:00:00,4,2,166,25.1,13.6,7.4,0.9,0.5,0.7,11312114
21,LaMelo Ball,Hornets,Guard,6-7,180,USA,2001-08-22T00:00:00,2,3,126,30.9,18.3,6.4,7.0,1.6,0.4,8231760
22,Lonzo Ball,Bulls,Guard,6-6,190,USA,1997-10-27T00:00:00,5,2,252,32.5,11.9,5.7,6.2,1.6,0.6,18604651
23,Mo Bamba,Magic,Center,7-0,231,USA,1998-05-12T00:00:00,4,6,226,18.6,7.7,6.1,0.9,0.4,1.4,7568742
24,Desmond Bane,Grizzlies,Guard,6-5,215,USA,1998-06-25T00:00:00,2,30,144,26.3,14.0,3.8,2.3,0.9,0.3,2033160
25,Dalano Banton,Raptors,Forward,6-7,204,Canada,1999-11-07T00:00:00,1,46,64,10.9,3.2,1.9,1.5,0.4,0.2,925258
26,Harrison Barnes,Kings,Forward,6-8,225,USA,1992-05-30T00:00:00,10,7,747,31.8,14.1,5.1,1.8,0.7,0.2,20284091
27,Scottie Barnes,Raptors,Forward,6-7,225,USA,2001-08-01T00:00:00,1,4,74,35.4,15.3,7.5,3.5,1.1,0.7,7280520
28,RJ Barrett,Knicks,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,3,3,198,33.5,17.5,5.6,2.9,0.8,0.3,8623920
29,Will Barton,Wizards,Guard,6-5,181,USA,1991-01-06T00:00:00,10,40,623,25.9,11.6,4.3,2.7,0.8,0.4,15384615
30,Charles Bassey,76ers,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,1,53,23,7.3,3.0,2.7,0.3,0.2,0.7,925258
31,Keita Bates-Diop,Spurs,Forward,6-8,229,USA,1996-01-23T00:00:00,4,48,163,15.0,5.2,3.0,0.6,0.5,0.3,1729217
32,Nicolas Batum,Clippers,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,14,25,915,30.6,11.1,5.1,3.5,1.0,0.6,12213507
33,Kent Bazemore,Lakers,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,10,Undrafted,657,20.6,8.2,3.2,1.8,1.0,0.5,2401537
34,Darius Bazley,Thunder,Forward,6-8,208,USA,2000-06-12T00:00:00,3,23,185,25.8,10.0,5.8,1.3,0.6,0.7,2513040
35,Bradley Beal,Wizards,Guard,6-4,207,USA,1993-06-28T00:00:00,10,3,645,34.8,22.1,4.1,4.2,1.1,0.4,34502130
36,Malik Beasley,Jazz,Guard,6-4,187,USA,1996-11-26T00:00:00,6,19,336,20.9,10.4,2.5,1.2,0.6,0.1,14391964
37,Davis Bertans,Mavericks,Forward,6-10,225,Latvia,1992-11-12T00:00:00,6,42,387,19.1,8.2,2.7,1.0,0.4,0.4,16000000
38,Patrick Beverley,Jazz,Guard,6-1,180,USA,1988-07-12T00:00:00,10,42,526,27.4,8.8,4.3,3.5,1.1,0.5,14320988
39,Saddiq Bey,Pistons,Forward,6-7,215,USA,1999-04-09T00:00:00,2,19,152,30.4,14.3,5.0,2.2,0.8,0.2,2824320
40,Khem Birch,Raptors,Center,6-9,233,Canada,1992-09-28T00:00:00,5,Undrafted,262,17.8,5.2,4.6,1.0,0.5,0.6,6350000
41,Goga Bitadze,Pacers,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,3,18,149,11.8,5.0,2.9,0.8,0.3,0.9,3098400
42,Bismack Biyombo,Suns,Center,6-8,255,DRC,1992-08-28T00:00:00,11,7,738,19.9,5.2,6.1,0.6,0.3,1.3,1366392
